22:46:08 | INFO     | main | ============================================================
22:46:08 | INFO     | main | IIT Jodhpur Curriculum Extractor — starting run
22:46:08 | INFO     | main | pdf_dir    : C:\Namya\Projects\curriculum-pdfs-extract\curriculums
22:46:08 | INFO     | main | output_dir : C:\Namya\Projects\curriculum-pdfs-extract\output
22:46:08 | INFO     | main | log_file   : C:\Namya\Projects\curriculum-pdfs-extract\logs\parse_20260612_224608.log
22:46:08 | INFO     | main | Found 11 PDF(s) to parse.
22:46:08 | INFO     | main | --------------------------------------------------
22:46:08 | INFO     | main | Parsing: Curriculum-BS-Chemistry with Specialization.pdf
22:46:12 | INFO     | main | --------------------------------------------------
22:46:12 | INFO     | main | Parsing: Curriculum-BS-Mathematics and Computing.pdf
22:46:19 | INFO     | main | --------------------------------------------------
22:46:19 | INFO     | main | Parsing: Curriculum-BS-Physics with Specialization.pdf
